Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,47.11599293,46.89181423,47.9771819,47.89745154,47.89864525,48.47409992,48.27521845,48.92808207,48.93011269,49.73754706,51.34257943,52.57811841,52.26371753,52.92614236,52.20159518,52.19017859,52.90092884,52.59569061,50.54489838,47.40138186,47.44872834,45.62207266,46.81474814,46.52780802,46.88915184,46.28909666,45.84753731,46.37241186,46.03631478,47.46373747,46.70995102,44.73479464,47.14286416,48.76655595,47.92713924,48.34718286,50.47324542,51.64598137,51.49806361,49.60952238,49.57514152,47.72154634,47.54029559,48.23745667,47.07603025,46.98170959,46.56878036,45.57169305,46.00987283,43.27889553,43.99277682,42.01121596,41.71476412,20.26,
Afghanistan,AFG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,11.098345,11.89893843,13.7636066,14.22700907,14.95450904,16.19281624,18.1516807,19.77178864,19.87621092,20.85162414,21.99186138,23.18088837,22.63397854,21.1920063,21.30072102,20.40763249,21.05506734,20.64604129,21.12918179,34.50301133,35.81908026,36.8965585,36.21760942,31.80237151,30.83646482,32.64304562,33.58782928,32.8566086,34.23243197,37.92916371,38.8665394,39.02020201,39.98005107,38.13533234,39.79766227,38.2078134,38.1081288,39.04703731,36.56803246,43.945643,46.57961123,44.47870084,44.91567654,47.19445202,45.88027652,47.47228311,45.43495565,44.81206391,47.50505996,46.57322296,46.80803818,47.31320137,46.40354603,,
Angola,AGO,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.47635212,25.47877468,24.09417885,24.96066416,24.43581619,22.82585924,23.46982057,23.8110647,22.03321058,24.63304554,25.1848948,26.72093874,28.25981974,32.00814482,32.44713992,28.45682989,32.74235396,34.95462547,37.72449352,40.77938406,43.77412693,44.69201798,47.42994886,45.83573044,55.09872613,26.3540803,0,0,0,0,0,0,0,0,,
Albania,ALB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.58285327,69.82824331,56.08109002,53.48248693,54.83464746,49.54166874,45.45477259,41.45041846,45.28037643,58.15898832,58.62622522,60.85769743,63.13079253,64.41016812,65.46766838,66.34901632,64.36209553,65.01849464,63.7091916,63.27129499,63.07473062,61.34830548,57.58861587,56.22837288,61.23871571,47.35338698,0,0,0,0,0,0,0,0,,
Andorra,AND,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,82.24651922,83.05676982,84.6192628,85.51937007,85.79917066,86.85521858,87.51701231,88.77404858,90.28759986,91.3723233,91.57370409,92.24483063,93.26320586,93.38499004,92.87900068,93.41555509,93.67183336,94.28902492,94.40860245,93.59118772,93.78685843,94.32980122,94.5817631,94.42701305,94.49032976,94.50783493,94.65161114,94.68186332,94.61408489,94.73230066,94.87289613,95.05696384,95.12224952,95.04338502,95.3455291,95.50643474,95.82484545,96.2192531,96.28812876,96.36338072,96.45831101,96.55125494,96.48862965,96.67705946,96.75968003,96.83405945,96.88179312,96.80976797,96.62467071,96.29049309,96.06523225,95.74767258,95.33337265,,
United Arab Emirates,ARE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.94133084,99.97288342,,,99.96296997,,,,,92.21394346,92.70304075,92.58788365,,99.9794221,99.7541027,99.75982544,99.78528356,95.55028675,,97.6888674,98.47229391,98.35249482,80.13354493,22.53484826,0,0,0,0,0,0,0,0,,
Argentina,ARG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.24597749,91.64894348,93.52698725,89.75706115,87.49440765,89.04782713,90.20318302,89.19099064,86.58896889,87.56728919,88.96886145,88.13234976,86.51165221,85.69969422,87.93356138,88.74292969,91.31115775,89.08220821,92.17482841,96.14567343,93.38688311,91.94288413,89.94028741,89.93210415,92.38366222,56.28773765,0,0,0,0,0,0,0,0,0,
Armenia,ARM,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.03174468,96.5051536,92.7111552,82.05930978,76.96080118,84.23749435,57.64695969,70.62739187,72.11679163,65.24601791,70.04174531,71.16956794,61.8023159,65.70554651,66.89547996,68.09214588,67.48953711,70.54486021,73.27760399,68.19935696,67.39505361,71.54200207,77.32224246,75.48868767,69.98220831,63.48193418,0,0,0,0,0,0,0,0,,
American Samoa,ASM,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
Australia,AUS,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.16917602,93.74034554,94.40511162,93.49800222,93.45644121,94.01624499,93.46121398,93.51010275,93.8734619,93.92265534,89.32304262,98.04703948,98.23537742,93.9279843,94.07874686,94.21076669,94.33483755,94.52790817,94.56509429,95.81456189,94.91911226,95.1933823,95.08588829,92.60743883,92.130325,92.40859026,0,0,0,0,0,0,0,0,0,
Austria,AUT,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.12398616,79.11933408,77.2299701,77.00328847,77.57848955,77.97187693,78.19005432,78.40486563,78.50693482,76.59959765,76.52565381,76.88952354,77.35048021,78.473944,78.34566661,77.0533448,74.22043699,72.80174984,71.63023658,69.44616376,70.0277215,69.05413775,67.08852338,66.15628469,65.03752938,65.74467186,0,0,0,0,0,0,0,0,0,
Azerbaijan,AZE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.88681518,99.88464422,99.30680989,98.57256298,98.65201179,98.64558293,98.38246937,97.88653099,98.22767886,98.04042427,98.27631417,98.37476502,97.29762139,96.93281524,97.11796846,97.10033202,97.58807306,94.56044929,94.15705003,93.89349072,94.97593429,95.99134066,96.87208581,96.64426553,96.81391491,50.90975651,0,0,0,0,0,0,0,0,,
Burundi,BDI,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.90299642,76.45130588,75.90775145,76.00157693,77.65316137,77.49192249,77.76873189,75.75732119,76.8088293,75.81602208,75.93949691,76.00659111,74.37459123,74.97189743,74.71997184,74.84448614,74.28097352,73.1451128,73.79489963,73.13598196,73.17808696,70.6589524,71.45191706,70.77947555,72.76011771,76.29595322,0,0,0,0,0,0,0,0,0,
Benin,BEN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.838158906,3.854013717,3.930581007,3.834838399,3.864895909,3.780218388,13.32999988,17.3193839,17.32798206,21.00423649,25.48294224,27.46173201,29.64356604,32.07373486,32.81843364,31.04592233,36.32131391,39.66512355,39.07161371,39.79761462,42.59879875,41.55329377,39.07338322,37.74701978,38.86574613,40.54839431,0,0,0,0,0,0,0,0,,
Burkina Faso,BFA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bangladesh,BGD,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.43336999,44.5856206,46.6727738,50.02791664,50.19371532,54.73364697,56.27277886,56.83060809,58.54375449,56.74202406,57.8359629,59.7897869,60.71491157,62.26456034,62.2143764,62.40824273,64.72994336,65.7933629,67.04459728,68.65579273,72.7300354,73.71046184,74.8241218,72.85308658,74.18089656,71.28535295,0,0,0,0,0,0,0,0,,
Bulgaria,BGR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.6610509,80.07435277,82.53414197,81.96568958,79.90316147,78.81425896,77.48709334,76.77415187,75.79158042,74.73396315,72.40143939,73.18700432,70.49287386,74.11763979,74.00911484,72.92488723,72.33620332,77.75292262,76.18254406,73.47421343,73.86176126,75.75637062,72.77414296,70.50703001,71.91611045,36.00445404,0,0,0,0,0,0,0,0,,
Bahrain,BHR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.9741336,96.1404337,95.33100897,96.95116177,96.63913916,99.73398969,96.81332349,99.87385501,,96.60162094,97.44811068,97.84589857,97.90490408,98.11197061,97.38849256,98.02726794,,94.97699503,99.57592595,99.44518086,,98.58043345,,98.83971877,,1.883193534,0,0,0,0,0,0,0,0,,
"Bahamas, The",BHS,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.92451744,93.78111897,91.17077356,89.58437546,67.3951251,67.9827283,72.99408189,84.74509418,85.61256027,84.80466075,87.89339537,87.29579545,87.74936372,88.87655876,89.00046678,88.50918811,90.49182222,91.07041299,92.31808369,92.60394715,91.65236474,93.9960055,91.94742299,92.50374181,,85.32545627,0,0,0,0,0,0,0,0,,
Belarus,BLR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.78562228,95.46055882,95.30177234,94.8143013,94.50887095,92.96709782,91.97196045,92.15398457,91.01883299,91.93235707,91.28018047,90.84827306,91.65450263,91.88664691,93.33619704,92.39976633,92.30789944,92.09102557,92.95525733,91.83747403,92.20187465,91.97821816,91.30310995,91.24489901,92.85144409,-1.227132018,0,0,0,0,0,0,0,0,,
Belize,BLZ,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.22247634,67.64078533,70.38062352,69.5529966,72.14162496,74.75907591,74.08540458,75.60161636,75.78532325,75.47616707,,75.71642909,79.93309047,82.20609258,80.72524432,81.42672036,,78.66881928,82.54673267,80.89791464,82.6197262,81.97732687,87.59290143,87.9208726,85.30594202,43.45609028,0,0,0,0,0,0,0,0,,
Brazil,BRA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.09437793,51.8611685,52.5843367,53.16092217,53.15456782,54.45862954,56.1277954,56.5434392,57.17929577,57.09880072,58.00456504,58.66471884,56.80512618,54.32769156,54.35038302,53.89205145,53.05367477,52.195246,52.11265151,50.90136502,53.03361943,54.28570306,56.4658179,57.72347267,58.84122016,20.80804683,0,0,0,0,0,0,0,0,0,
Barbados,BRB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.84285771,99.89428646,99.93520972,99.9741383,99.97474308,99.97513878,99.9747836,99.97551327,99.97901844,99.97793289,99.97855006,99.97836033,99.97936035,99.97866384,99.97676701,99.9768046,99.97717894,99.97774059,99.97750924,99.97733402,99.97670389,99.97217642,99.97269613,99.9716728,99.97189009,83.97586492,0,0,0,0,0,0,0,0,,
Bhutan,BTN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
Botswana,BWA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83129706,62.16367296,65.30620584,63.96384572,61.95157836,63.04975354,60.16888286,60.62932934,63.69850519,64.3088966,64.75108011,64.50909779,64.55314041,63.45402587,61.10788905,61.83951838,62.03200992,61.24468058,61.963697,58.69012985,60.23655354,57.17216291,61.5639433,66.48075479,70.18368452,71.89050735,0,0,0,0,0,0,0,0,,
Central African Republic,CAF,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
