Entity,Code,Year,Gas,Oil,Coal
World,OWID_WRL,1800,0,0,97
World,OWID_WRL,1810,0,0,128
World,OWID_WRL,1820,0,0,153
World,OWID_WRL,1830,0,0,264
World,OWID_WRL,1840,0,0,356
World,OWID_WRL,1850,0,0,569
World,OWID_WRL,1860,0,0,1061
World,OWID_WRL,1870,0,6,1642
World,OWID_WRL,1880,0,33,2542
World,OWID_WRL,1890,33,89,3856
World,OWID_WRL,1900,64,181,5728
World,OWID_WRL,1910,142,397,8656
World,OWID_WRL,1920,233,889,9833
World,OWID_WRL,1930,603,1756,10125
World,OWID_WRL,1940,875,2653,11586
World,OWID_WRL,1950,2092,5444,12603
World,OWID_WRL,1960,4472,11097,15442
World,OWID_WRL,1965,6303.821,18011.457,16177.694
World,OWID_WRL,1966,6868.8145,19426.414,16359.431
World,OWID_WRL,1967,7374.058,20778.916,16095.518
World,OWID_WRL,1968,8044.3477,22510.49,16333.144
World,OWID_WRL,1969,8833.434,24445.395,16847
World,OWID_WRL,1970,9614.809,26684.725,17087.006
World,OWID_WRL,1971,10293.19,28116.584,16987.656
World,OWID_WRL,1972,10861.714,30335.396,17168.227
World,OWID_WRL,1973,11377.833,32730.184,17683.57
World,OWID_WRL,1974,11659.859,32230.395,17696.432
World,OWID_WRL,1975,11659.736,31996.514,18045.436
World,OWID_WRL,1976,12354.139,34061.47,18699.785
World,OWID_WRL,1977,12759.838,35194.34,19267.412
World,OWID_WRL,1978,13293.947,36709.973,19467.492
World,OWID_WRL,1979,14118.029,37177.996,20370.578
World,OWID_WRL,1980,14236.961,35568.645,20877.783
World,OWID_WRL,1981,14395.874,34289.96,21158.002
World,OWID_WRL,1982,14469.731,33270.01,21395.428
World,OWID_WRL,1983,14703.827,33097.43,22050.973
World,OWID_WRL,1984,15902.676,33623.6,23008.44
World,OWID_WRL,1985,16262.218,33684.684,23996.738
World,OWID_WRL,1986,16421.107,34710.477,24263.818
World,OWID_WRL,1987,17281.893,35508.195,25228.488
World,OWID_WRL,1988,18088.844,36641.938,25983.08
World,OWID_WRL,1989,18888.648,37215.688,26231.049
World,OWID_WRL,1990,19481.15,37906.816,25928.912
World,OWID_WRL,1991,19972.838,37876.832,25686.727
World,OWID_WRL,1992,20063.482,38404.773,25584.3
World,OWID_WRL,1993,20265.482,38246.242,25708.832
World,OWID_WRL,1994,20389.613,39068.176,25815.188
World,OWID_WRL,1995,21104.492,39666.37,25999.217
World,OWID_WRL,1996,22159.254,40576.63,26617.482
World,OWID_WRL,1997,22030.393,41652.086,26563.252
World,OWID_WRL,1998,22434,41788.617,26395.965
World,OWID_WRL,1999,23071.904,42435.785,26508.807
World,OWID_WRL,2000,23994.258,43016.63,27456.373
World,OWID_WRL,2001,24316.832,43398.32,27880.072
World,OWID_WRL,2002,25051.928,43697.09,28982.217
World,OWID_WRL,2003,25727.734,44610.883,31519.594
World,OWID_WRL,2004,26781.62,46413.184,33708.973
World,OWID_WRL,2005,27439.225,47016.887,36200.953
World,OWID_WRL,2006,28171.709,47436.953,38087.04
World,OWID_WRL,2007,29338.285,48087.52,40241.703
World,OWID_WRL,2008,30050.746,47692.652,40796.645
World,OWID_WRL,2009,29403.605,46633.97,40219.008
World,OWID_WRL,2010,31592.871,48192.543,42016.016
World,OWID_WRL,2011,32349.885,48578.273,43983.35
World,OWID_WRL,2012,33246.438,49362.21,44098.684
World,OWID_WRL,2013,33733.266,49922.812,44745.465
World,OWID_WRL,2014,33976.355,50336.395,44912.37
World,OWID_WRL,2015,34780.043,51294.03,43695.344
World,OWID_WRL,2016,35583.984,52314.516,42767.824
World,OWID_WRL,2017,36603.055,53263.332,43226.34
World,OWID_WRL,2018,38317.06,53792.79,43897.33
World,OWID_WRL,2019,39053.18,53997.266,43627.613
World,OWID_WRL,2020,38704.047,49101.246,42316.324
World,OWID_WRL,2021,40225.734,51846.82,44642.164
World,OWID_WRL,2022,40059.652,53562.11,44926.926
World,OWID_WRL,2023,40151.22,54838.684,45319.086
World,OWID_WRL,2024,41278.27,55292.082,45850.543
