Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,region
Aruba,ABW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean
Africa Eastern and Southern,AFE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.451979,694.5511651,664.6506493,668.7354841,678.9861924,693.5087837,693.1092383,692.2010534,678.9878495,669.6655405,636.5029357,622.48563,606.0638797,629.2386594,643.0874186,627.3147174,631.3598558,641.241172,659.7960636,660.517214,628.5819434,636.5189016,612.156934,614.2805243,622.3196203,610.0192279,608.5966889,599.3720815,585.5409081,588.9627503,568.1920832,579.9615786,568.3823944,565.2216244,,,
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.7758744,304.4279513,310.2377262,307.1316697,286.0646333,282.9832997,292.2724624,299.03099,294.2670607,298.153319,285.7279611,289.2988438,292.2322468,297.0346571,302.350205,312.4483753,303.0908319,300.481101,307.3319909,295.9159924,337.2261248,359.0813753,354.7679515,356.6625817,355.4448024,337.5093313,344.7850239,335.3172815,327.1219868,344.6028254,342.5058261,352.3331467,352.0769528,344.3919208,,,
Angola,AGO,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.0989068,501.1013959,487.6652633,489.171805,480.0419345,462.9013091,461.9724302,456.9387549,441.4421135,448.2603893,444.6020702,447.5320652,451.4249321,468.0464384,455.9567203,415.6993264,446.8187751,471.6923918,497.7435916,530.4478505,513.0093641,511.9963822,557.5769584,538.4945934,473.6146615,543.360924,487.9489735,481.0003578,428.6399101,444.1834636,423.4905038,430.7465695,437.5685438,448.8709034,,,Sub-Saharan Africa
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813.3738013,572.7552077,418.2732089,412.3518244,441.3480096,417.0346111,447.8389305,384.5849541,426.8189067,576.9742691,581.374749,598.2283171,661.1179516,649.3578811,716.6231459,721.0774074,707.8906065,680.9481662,712.287869,734.0578099,731.0533975,766.8946175,699.4448977,826.0183849,844.59008,803.9874481,840.6193636,894.4663996,904.7397747,908.3172527,855.1855942,914.7329255,884.5722153,888.4638557,,,Europe & Central Asia
Andorra,AND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia
Arab World,ARB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094.419348,1108.517851,1192.658196,1235.398181,1273.884981,1271.628481,1286.574908,1306.908821,1301.933395,1283.122332,1309.460488,1385.815899,1424.195331,1410.036274,1434.801955,1502.790598,1543.338842,1573.213214,1648.779036,1688.759843,1749.862796,1758.99869,1794.701254,1767.283204,1825.454917,1827.001046,1835.668586,1848.35459,1824.510047,1804.372762,1678.510118,1733.387222,1769.424328,1802.871984,,,
United Arab Emirates,ARE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10740.84292,11690.09702,10562.89944,10572.66983,11178.39848,11360.90147,11250.16912,10941.74652,10375.28599,9839.144035,8956.949299,11703.2751,10866.25188,10102.21686,9441.127157,9535.075506,9239.041446,8929.127324,9425.055328,9445.23902,8849.862878,8498.198792,8466.346028,8654.485493,9398.400395,9973.982875,10191.61847,8378.97734,8363.009285,8736.636094,8105.438129,8500.464106,8303.276671,9139.542304,,,Middle East & North Africa
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351.482776,1385.38307,1407.276754,1432.607503,1530.527608,1507.198475,1534.091776,1567.394448,1648.112636,1666.818622,1643.32132,1518.567373,1484.257019,1590.617211,1740.908903,1712.432035,1784.016698,1845.914228,1889.409238,1722.744029,1826.051124,1865.257361,1897.609839,1928.549229,1911.617277,1919.758592,1889.870189,1874.829637,1806.776235,1777.415077,1623.924508,1741.513772,1808.760213,1763.508797,1736.702497,,Latin America & Caribbean
