Entity,Code,Year,Oil,Coal,Solar,Nuclear,Hydropower,Wind,Gas,Other renewables
Africa,OWID_AFR,1965,47.851875,45.385933,0,0,5.419266,0,1.3429247,0
Africa,OWID_AFR,1966,49.501648,43.292603,0,0,5.772398,0,1.4333531,0
Africa,OWID_AFR,1967,48.835873,43.798225,0,0,5.9637628,0,1.4021416,0
Africa,OWID_AFR,1968,48.916077,43.132767,0,0,6.60547,0,1.345685,0
Africa,OWID_AFR,1969,48.582893,42.38066,0,0,7.505726,0,1.5307204,0
Africa,OWID_AFR,1970,48.9424,40.655807,0,0,8.64954,0,1.7522513,0
Africa,OWID_AFR,1971,49.896225,40.46982,0,0,7.6350694,0,1.9447358,0.05415174
Africa,OWID_AFR,1972,50.868515,38.390087,0,0,8.224803,0,2.4650757,0.051520903
Africa,OWID_AFR,1973,50.6253,37.66303,0,0,8.019785,0,3.642951,0.048931226
Africa,OWID_AFR,1974,50.03294,37.32675,0,0,8.688333,0,3.904018,0.047957826
Africa,OWID_AFR,1975,49.527523,37.321453,0,0,8.668627,0,4.437927,0.04447162
Africa,OWID_AFR,1976,49.71861,36.72032,0,0,8.862243,0,4.6547008,0.0441282
Africa,OWID_AFR,1977,50.17409,35.604137,0,0,9.238127,0,4.940873,0.04276746
Africa,OWID_AFR,1978,50.91637,33.2937,0,0,8.962832,0,6.7846346,0.042460624
Africa,OWID_AFR,1979,49.227463,32.419743,0,0,8.799637,0,9.513011,0.04014544
Africa,OWID_AFR,1980,48.62377,32.272453,0,0,7.9677806,0,11.097588,0.03840672
Africa,OWID_AFR,1981,46.917004,33.60239,0,0,7.36869,0,12.075911,0.036004517
Africa,OWID_AFR,1982,46.100845,34.732548,0,0,6.9081993,0,12.221876,0.036531854
Africa,OWID_AFR,1983,46.46509,34.37091,0,0,6.0567613,0,13.0726,0.03463614
Africa,OWID_AFR,1984,45.80167,35.705654,0,0.51027906,5.784026,0,12.1641445,0.03422445
Africa,OWID_AFR,1985,45.157043,35.415462,0,0.66424364,6.1799884,0,12.545443,0.037820645
Africa,OWID_AFR,1986,43.224514,35.522163,0,1.0785486,6.2663603,0,13.817578,0.09083369
Africa,OWID_AFR,1987,44.256542,35.323483,0,0.7305281,5.811112,0,13.790645,0.08768827
Africa,OWID_AFR,1988,43.08378,35.46501,0,1.1612581,5.931177,0,14.280835,0.077939205
Africa,OWID_AFR,1989,44.45425,33.24457,0,1.2265713,6.21919,0,14.778707,0.076709054
Africa,OWID_AFR,1990,43.786316,33.76157,0,0.9027969,6.117804,0,15.334655,0.096858464
Africa,OWID_AFR,1991,44.03899,32.90812,0,0.9790387,6.4938927,0,15.480977,0.098981656
Africa,OWID_AFR,1992,44.172375,32.632362,0,0.9803033,6.1068726,0,16.006691,0.10139615
Africa,OWID_AFR,1993,44.517277,33.01517,0,0.76326346,5.9632926,0.00021041035,15.628421,0.112363696
Africa,OWID_AFR,1994,44.46713,32.767666,0,0.98679143,5.861121,0.0005495178,15.81981,0.09693211
Africa,OWID_AFR,1995,44.18086,32.500916,0,1.106005,5.8476334,0.0006165677,16.250734,0.113235295
